ID,Name,Description,Type,MIN,STR,DEX,CON,INT,WIS,AGI,LUK,STR_Growth,DEX_Growth,CON_Growth,INT_Growth,WIS_Growth,AGI_Growth,LUK_Growth,Pierce,Slash,Bludgeon,Fire,Ice,Water,Thunder,Wind,Earth,Dark,Light,Target AI
0,Slime,A malevalent blob.,Amorph,1,5,1,15,1,1,1,1,40,8,120,8,8,8,8,0.5,0.5,0.5,1,2,2,1,2,1,1,1,0
1,Clay Golem,An amalgamation of animated clay.,Amorph,3,8,1,17,1,1,1,1,53,7,113,7,7,7,7,0.5,0.5,1,0.5,1,2,0.5,2,0.5,1,1,0
2,Stone Golem,An amalgamation of animated rocks.,Amorph,5,10,1,20,1,1,1,1,57,6,114,6,6,6,6,0.5,0.5,1,0.5,1,2,1,1,0.5,1,1,0
3,Obsidian Golem,An amalgamation of animated obsidian.,Amorph,10,16,5,25,1,10,3,10,46,14,71,3,29,9,29,0,0,1,0.5,1,2,1,0.5,0,1,1,0
4,Gargoyle,A living statue with stone wings and sharp claws.,Amorph,15,15,8,18,3,7,9,10,43,23,51,9,20,26,29,0.5,0.5,1,0.5,2,2,2,0.5,0.5,1,1,0
5,Elemental,A blob of magical energy.,Amorph,10,1,5,8,20,17,10,9,3,14,23,57,49,29,26,0,0,0,1,1,1,1,1,1,1,1,0
6,Zombie,An undead human.,Ghoul,1,8,1,5,1,2,5,3,64,8,40,8,16,40,24,1,2,1,2,0.5,0.5,0.5,0.5,0.5,1,1,0
7,Phantasm,A possessed doll-like ghost.,Ghoul,3,1,1,1,9,1,12,5,7,7,7,60,7,80,33,0.5,0.5,0.5,2,1,1,1,2,1,0.5,2,1
8,Wraith,A ragged humanoid ghost.,Ghoul,5,1,1,6,16,9,1,1,6,6,34,91,51,6,6,0,0,0,1,2,1,1,2,1,0.5,2,1
9,Phantom,A more refined humanoid ghost that wears a mask.,Ghoul,10,1,9,9,20,12,17,2,3,26,26,57,34,49,6,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1
10,Banshee,A ragged hag-like ghost that screams.,Ghoul,12,1,15,4,10,8,16,16,3,43,11,29,23,46,46,0.5,0.5,0.5,2,2,0.5,1,2,1,0.5,2,1
11,Succubus,A beautiful woman with demonic wings and horns.,Ghoul,15,3,14,8,18,12,10,5,9,40,23,51,34,29,14,1,1,1,0.5,0.5,0.5,1,1,1,0,2,1
12,Lich,A vaguely humainoid spectre animated by otherworldly magic.,Ghoul,19,1,20,1,20,18,20,20,2,40,2,40,36,40,40,0,0,0,0.5,0.5,1,1,1,1,0,0.5,1
13,Skeleton (sword),A skeleton with a sword.,Stal,1,10,1,4,1,1,4,4,80,8,32,8,8,32,32,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
14,Skeleton (bow),A skeleton with a bow.,Stal,1,1,10,4,1,1,4,4,8,80,32,8,8,32,32,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
15,Stalhound,A skeletal dog.,Stal,5,12,3,5,1,1,12,1,69,17,29,6,6,69,6,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
16,Stal Warrior,A skeleton with an axe.,Stal,10,18,8,14,1,1,10,18,51,23,40,3,3,29,51,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
17,Stal Warlock,A skeleton with a tome.,Stal,10,3,16,6,14,1,12,18,9,46,17,40,3,34,51,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
18,Stal Guardian,A skeleton in heavy armour.,Stal,14,19,1,20,1,3,8,18,54,3,57,3,9,23,51,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
19,Stal Spellsword,A skeleton with a magic sword.,Stal,14,17,10,6,1,5,13,18,49,29,17,3,14,37,51,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
20,Stal Drake,A skeletal dragon.,Stal,20,20,8,20,2,12,20,18,40,16,40,4,24,40,36,0.5,0.5,1,1,0.5,1,1,1,1,2,2,0
